timestamp,simulated_date,portfolio_value,predicted_direction,actual_direction,model_accuracy
2026-03-02T22:42:36.770155,2021-09-13 00:00:00,51.17263178375692,0,0.0,1.0
2026-03-02T22:42:36.809905,2021-09-14 00:00:00,51.24844088298664,0,1.0,0.5
2026-03-02T22:42:36.874314,2021-09-15 00:00:00,51.174931133852795,0,1.0,0.3333333333333333
2026-03-02T22:42:36.898384,2021-09-16 00:00:00,51.03882142637767,0,0.0,0.5
2026-03-02T22:42:36.931139,2021-09-17 00:00:00,51.95431513934862,0,0.0,0.6
2026-03-02T22:42:36.958885,2021-09-20 00:00:00,52.03539158232343,0,0.0,0.6666666666666666
2026-03-02T22:42:36.983321,2021-09-21 00:00:00,52.450857213492235,0,1.0,0.5714285714285714
2026-03-02T22:42:36.999560,2021-09-22 00:00:00,51.0393022189656,0,1.0,0.5
2026-03-02T22:42:37.018969,2021-09-23 00:00:00,50.250887995642806,0,1.0,0.4444444444444444
2026-03-02T22:42:37.047614,2021-09-24 00:00:00,50.225842971924024,0,0.0,0.5
2026-03-02T22:42:37.087365,2021-09-27 00:00:00,50.3415156543386,0,0.0,0.5454545454545454
2026-03-02T22:42:37.104348,2021-09-28 00:00:00,51.563630531164044,0,0.0,0.5833333333333334
2026-03-02T22:42:37.129725,2021-09-29 00:00:00,52.60524621731342,0,0.0,0.6153846153846154
2026-03-02T22:42:37.167011,2021-09-30 00:00:00,52.736962090657194,0,0.0,0.6428571428571429
2026-03-02T22:42:37.178351,2021-10-01 00:00:00,52.75729293971947,0,0.0,0.6666666666666666
2026-03-02T22:42:37.191407,2021-10-04 00:00:00,54.74366617981047,0,1.0,0.625
2026-03-02T22:42:37.204336,2021-10-05 00:00:00,53.368901987548355,0,1.0,0.5882352941176471
2026-03-02T22:42:37.223510,2021-10-06 00:00:00,54.90736907452256,1,0.0,0.5555555555555556
2026-03-02T22:42:37.254807,2021-10-07 00:00:00,54.95161957140735,0,0.0,0.5789473684210527
2026-03-02T22:42:37.282552,2021-10-08 00:00:00,55.65475982813238,0,1.0,0.55
2026-03-02T22:42:37.303422,2021-10-11 00:00:00,55.330166317268045,0,0.0,0.5714285714285714
2026-03-02T22:42:37.325909,2021-10-12 00:00:00,55.74724014507673,0,1.0,0.5454545454545454
2026-03-02T22:42:37.361943,2021-10-13 00:00:00,55.69127461394447,0,1.0,0.5217391304347826
2026-03-02T22:42:37.370272,2021-10-14 00:00:00,56.889443246159125,1,1.0,0.5416666666666666
2026-03-02T22:42:37.388892,2021-10-15 00:00:00,57.025080739301295,1,1.0,0.56
2026-03-02T22:42:37.413393,2021-10-18 00:00:00,58.26526824882777,1,1.0,0.5769230769230769
2026-03-02T22:42:37.434311,2021-10-19 00:00:00,58.301891581810445,1,0.0,0.5555555555555556
2026-03-02T22:42:37.477347,2021-10-20 00:00:00,57.77389506233786,1,1.0,0.5714285714285714
2026-03-02T22:42:37.501324,2021-10-21 00:00:00,59.32955545524212,1,0.0,0.5517241379310345
2026-03-02T22:42:37.524749,2021-10-22 00:00:00,59.077398677733534,1,1.0,0.5666666666666667
2026-03-02T22:42:37.536051,2021-10-25 00:00:00,59.573719795229344,1,1.0,0.5806451612903226
2026-03-02T22:42:37.579869,2021-10-26 00:00:00,61.38161474636196,1,0.0,0.5625
2026-03-02T22:42:37.602086,2021-10-27 00:00:00,61.43930131603184,0,1.0,0.5454545454545454
2026-03-02T22:42:37.639525,2021-10-28 00:00:00,61.594886936569786,1,1.0,0.5588235294117647
2026-03-02T22:42:37.682370,2021-10-29 00:00:00,62.98933939176081,1,1.0,0.5714285714285714
2026-03-02T22:42:37.699866,2021-11-01 00:00:00,63.42647419704395,1,1.0,0.5833333333333334
2026-03-02T22:42:37.727467,2021-11-02 00:00:00,64.84866600518066,1,0.0,0.5675675675675675
2026-03-02T22:42:37.763984,2021-11-03 00:00:00,64.67359526678862,1,1.0,0.5789473684210527
2026-03-02T22:42:37.771847,2021-11-04 00:00:00,70.78254230974409,1,0.0,0.5641025641025641
2026-03-02T22:42:37.781750,2021-11-05 00:00:00,71.80252998068306,0,1.0,0.55
2026-03-02T22:42:37.802837,2021-11-08 00:00:00,73.36247247225496,1,0.0,0.5365853658536586
2026-03-02T22:42:37.820011,2021-11-09 00:00:00,77.05537105886695,0,1.0,0.5238095238095238
2026-03-02T22:42:37.834620,2021-11-10 00:00:00,76.78501387850784,0,0.0,0.5348837209302325
2026-03-02T22:42:37.856082,2021-11-11 00:00:00,76.98159092661867,0,1.0,0.5227272727272727
2026-03-02T22:42:37.889632,2021-11-12 00:00:00,76.0068178601913,0,0.0,0.5333333333333333
2026-03-02T22:42:37.927755,2021-11-15 00:00:00,77.31788179793422,0,1.0,0.5217391304347826
2026-03-02T22:42:37.964415,2021-11-16 00:00:00,76.16431447292806,0,0.0,0.5319148936170213
2026-03-02T22:42:37.980321,2021-11-17 00:00:00,79.0613518385767,0,0.0,0.5416666666666666
2026-03-02T22:42:37.999046,2021-11-18 00:00:00,80.75167101099532,0,1.0,0.5306122448979592
2026-03-02T22:42:38.022793,2021-11-19 00:00:00,78.8933517895826,0,0.0,0.54
2026-03-02T22:42:38.044615,2021-11-22 00:00:00,82.56767953227731,0,1.0,0.5294117647058824
2026-03-02T22:42:38.079746,2021-11-23 00:00:00,82.01521982077546,0,1.0,0.5192307692307693
2026-03-02T22:42:38.095637,2021-11-24 00:00:00,78.85306965292138,0,0.0,0.5283018867924528
2026-03-02T22:42:38.125841,2021-11-26 00:00:00,81.5064954407553,0,1.0,0.5185185185185185
2026-03-02T22:42:38.156915,2021-11-29 00:00:00,78.96304179442042,0,0.0,0.5272727272727272
2026-03-02T22:42:38.169679,2021-11-30 00:00:00,80.1366913925006,0,0.0,0.5357142857142857
2026-03-02T22:42:38.191488,2021-12-01 00:00:00,84.44037405807566,0,1.0,0.5263157894736842
2026-03-02T22:42:38.216956,2021-12-02 00:00:00,81.97322746501743,0,0.0,0.5344827586206896
2026-03-02T22:42:38.280967,2021-12-03 00:00:00,85.32131944172194,0,1.0,0.5254237288135594
2026-03-02T22:42:38.294773,2021-12-06 00:00:00,84.87300702154822,0,1.0,0.5166666666666667
2026-03-02T22:42:38.339043,2021-12-07 00:00:00,80.84280069632996,0,0.0,0.5245901639344263
2026-03-02T22:42:38.390356,2021-12-08 00:00:00,81.27987158663173,0,0.0,0.532258064516129
2026-03-02T22:42:38.401484,2021-12-09 00:00:00,84.46611096610351,0,0.0,0.5396825396825397
2026-03-02T22:42:38.427685,2021-12-10 00:00:00,87.04754628776507,0,0.0,0.546875
2026-03-02T22:42:38.481303,2021-12-13 00:00:00,93.05618730941539,0,1.0,0.5384615384615384
2026-03-02T22:42:38.526021,2021-12-14 00:00:00,90.9127924497989,0,1.0,0.5303030303030303
2026-03-02T22:42:38.578899,2021-12-15 00:00:00,84.32161485980983,0,0.0,0.5373134328358209
2026-03-02T22:42:38.606080,2021-12-16 00:00:00,76.83736437012554,1,0.0,0.5294117647058824
2026-03-02T22:42:38.638640,2021-12-17 00:00:00,77.34256629645026,0,1.0,0.5217391304347826
2026-03-02T22:42:38.664175,2021-12-20 00:00:00,76.16989506904149,0,1.0,0.5142857142857142
2026-03-02T22:42:38.759621,2021-12-21 00:00:00,78.05172743956808,1,1.0,0.5211267605633803
2026-03-02T22:42:38.804933,2021-12-22 00:00:00,79.42683526229696,1,0.0,0.5138888888888888
2026-03-02T22:42:38.823729,2021-12-23 00:00:00,79.11985935460316,1,1.0,0.5205479452054794
2026-03-02T22:42:38.872510,2021-12-27 00:00:00,82.54767485429889,1,0.0,0.5135135135135135
2026-03-02T22:42:38.886397,2021-12-28 00:00:00,79.93774324676014,1,0.0,0.5066666666666667
2026-03-02T22:42:38.923535,2021-12-29 00:00:00,79.21950696731844,1,0.0,0.5
2026-03-02T22:42:38.942607,2021-12-30 00:00:00,78.57942114757408,1,0.0,0.4935064935064935
2026-03-02T22:42:38.963677,2021-12-31 00:00:00,77.88297219295227,1,1.0,0.5
2026-03-02T22:42:38.999378,2022-01-03 00:00:00,78.68230709316207,1,0.0,0.4936708860759494
2026-03-02T22:42:39.015285,2022-01-04 00:00:00,76.11734366924343,1,0.0,0.4875
2026-03-02T22:42:39.042320,2022-01-05 00:00:00,72.58085615416387,1,1.0,0.49382716049382713
2026-03-02T22:42:39.083345,2022-01-06 00:00:00,73.99360974409471,1,0.0,0.4878048780487805
2026-03-02T22:42:39.094031,2022-01-07 00:00:00,71.64293422186181,1,1.0,0.4939759036144578
2026-03-02T22:42:39.117930,2022-01-10 00:00:00,73.8503599018454,1,1.0,0.5
2026-03-02T22:42:39.157130,2022-01-11 00:00:00,75.18557344132321,1,0.0,0.49411764705882355
2026-03-02T22:42:39.173944,2022-01-12 00:00:00,75.0034187632931,1,0.0,0.4883720930232558
2026-03-02T22:42:39.218005,2022-01-13 00:00:00,70.23559432045082,1,1.0,0.4942528735632184
2026-03-02T22:42:39.245820,2022-01-14 00:00:00,71.95009115672528,1,0.0,0.48863636363636365
2026-03-02T22:42:39.262234,2022-01-18 00:00:00,70.97194159198388,1,0.0,0.48314606741573035
2026-03-02T22:42:39.299018,2022-01-19 00:00:00,68.21786063686038,1,0.0,0.4777777777777778
2026-03-02T22:42:39.311169,2022-01-20 00:00:00,65.10675200458104,1,0.0,0.4725274725274725
2026-03-02T22:42:39.335405,2022-01-21 00:00:00,64.73838682498588,1,1.0,0.4782608695652174
2026-03-02T22:42:39.361803,2022-01-24 00:00:00,67.75931774519016,1,0.0,0.4731182795698925
2026-03-02T22:42:39.393762,2022-01-25 00:00:00,67.09212280478248,1,0.0,0.46808510638297873
2026-03-02T22:42:39.419594,2022-01-26 00:00:00,68.44320462160601,0,0.0,0.47368421052631576
2026-03-02T22:42:39.438373,2022-01-27 00:00:00,73.1594214478258,0,1.0,0.46875
2026-03-02T22:42:39.461399,2022-01-28 00:00:00,70.40746441774962,0,1.0,0.4639175257731959
2026-03-02T22:42:39.470566,2022-01-31 00:00:00,66.44700384895361,0,0.0,0.46938775510204084
2026-03-02T22:42:39.512000,2022-02-01 00:00:00,67.6804438313973,0,0.0,0.47474747474747475
2026-03-02T22:42:39.524628,2022-02-02 00:00:00,69.12882745499086,0,0.0,0.48
2026-03-02T22:42:39.541757,2022-02-03 00:00:00,70.57030744356045,0,1.0,0.4752475247524752
2026-03-02T22:42:39.558063,2022-02-04 00:00:00,69.54878628667919,0,1.0,0.47058823529411764
2026-03-02T22:42:39.613164,2022-02-07 00:00:00,68.5328897334966,0,1.0,0.46601941747572817
2026-03-02T22:42:39.637649,2022-02-08 00:00:00,70.64016727494742,1,1.0,0.47115384615384615
2026-03-02T22:42:39.669160,2022-02-09 00:00:00,73.62601205161963,1,0.0,0.4666666666666667
2026-03-02T22:42:39.690656,2022-02-10 00:00:00,73.14168224750048,1,0.0,0.46226415094339623
2026-03-02T22:42:39.723702,2022-02-11 00:00:00,67.59029479344797,1,1.0,0.4672897196261682
2026-03-02T22:42:39.733169,2022-02-14 00:00:00,68.5306967541742,1,1.0,0.4722222222222222
2026-03-02T22:42:39.758879,2022-02-15 00:00:00,64.28409135899005,0,1.0,0.46788990825688076
2026-03-02T22:42:39.781528,2022-02-16 00:00:00,64.90100441423864,1,0.0,0.4636363636363636
2026-03-02T22:42:39.826218,2022-02-17 00:00:00,62.05731429105328,1,0.0,0.4594594594594595
2026-03-02T22:42:39.866865,2022-02-18 00:00:00,59.47620724585333,1,1.0,0.4642857142857143
2026-03-02T22:42:39.917941,2022-02-22 00:00:00,60.392813561724566,1,0.0,0.46017699115044247
2026-03-02T22:42:39.954337,2022-02-23 00:00:00,56.802531807386174,1,1.0,0.4649122807017544
2026-03-02T22:42:39.972054,2022-02-24 00:00:00,49.415364894668436,0,1.0,0.4608695652173913
2026-03-02T22:42:39.999576,2022-02-25 00:00:00,48.50709606329737,0,1.0,0.45689655172413796
2026-03-02T22:42:40.014331,2022-02-28 00:00:00,47.71252823783518,0,0.0,0.46153846153846156
2026-03-02T22:42:40.039346,2022-03-01 00:00:00,46.1136624401904,1,1.0,0.4661016949152542
2026-03-02T22:42:40.067287,2022-03-02 00:00:00,47.01434788039585,1,0.0,0.46218487394957986
2026-03-02T22:42:40.087575,2022-03-03 00:00:00,45.95244903975219,1,0.0,0.4583333333333333
2026-03-02T22:42:40.120687,2022-03-04 00:00:00,45.07207380963047,1,0.0,0.45454545454545453
2026-03-02T22:42:40.134722,2022-03-07 00:00:00,42.17815275767809,1,1.0,0.45901639344262296
2026-03-02T22:42:40.156639,2022-03-08 00:00:00,42.58392112274425,1,1.0,0.4634146341463415
2026-03-02T22:42:40.184511,2022-03-09 00:00:00,41.39125779047233,0,1.0,0.4596774193548387
2026-03-02T22:42:40.194493,2022-03-10 00:00:00,41.15794709937497,0,0.0,0.464
2026-03-02T22:42:40.213505,2022-03-11 00:00:00,39.50962869938318,1,0.0,0.4603174603174603
2026-03-02T22:42:40.255872,2022-03-14 00:00:00,38.53584512944575,1,1.0,0.4645669291338583
2026-03-02T22:42:40.273575,2022-03-15 00:00:00,35.930135833146316,0,1.0,0.4609375
2026-03-02T22:42:40.315402,2022-03-16 00:00:00,34.407309207334805,0,1.0,0.4573643410852713
2026-03-02T22:42:40.341602,2022-03-17 00:00:00,33.48578690947068,0,1.0,0.45384615384615384
2026-03-02T22:42:40.355942,2022-03-18 00:00:00,35.71916202715496,1,1.0,0.4580152671755725
2026-03-02T22:42:40.402832,2022-03-21 00:00:00,36.02505194955412,1,0.0,0.45454545454545453
2026-03-02T22:42:40.428557,2022-03-22 00:00:00,35.75143149610004,1,0.0,0.45112781954887216
2026-03-02T22:42:40.457375,2022-03-23 00:00:00,35.07816895283408,1,1.0,0.4552238805970149
2026-03-02T22:42:40.512527,2022-03-24 00:00:00,37.73792053890471,1,0.0,0.45185185185185184
2026-03-02T22:42:40.555683,2022-03-25 00:00:00,37.47538141956046,1,1.0,0.45588235294117646
2026-03-02T22:42:40.573049,2022-03-28 00:00:00,38.10051028122266,1,0.0,0.45255474452554745
2026-03-02T22:42:40.618949,2022-03-29 00:00:00,38.15229292827297,0,0.0,0.45652173913043476
2026-03-02T22:42:40.639527,2022-03-30 00:00:00,37.324653040763735,1,0.0,0.45323741007194246
2026-03-02T22:42:40.662191,2022-03-31 00:00:00,37.991021156947056,0,0.0,0.45714285714285713
2026-03-02T22:42:40.697176,2022-04-01 00:00:00,38.91113261210449,0,1.0,0.45390070921985815
2026-03-02T22:42:40.752503,2022-04-04 00:00:00,37.99105501431463,0,0.0,0.45774647887323944
2026-03-02T22:42:40.775109,2022-04-05 00:00:00,39.835267408073875,0,0.0,0.46153846153846156
2026-03-02T22:42:40.825493,2022-04-06 00:00:00,38.99331654055682,1,0.0,0.4583333333333333
2026-03-02T22:42:40.844733,2022-04-07 00:00:00,39.36504580796575,0,0.0,0.46206896551724136
2026-03-02T22:42:40.858814,2022-04-08 00:00:00,40.67847642258454,0,0.0,0.4657534246575342
2026-03-02T22:42:40.892796,2022-04-11 00:00:00,41.22234709498083,0,0.0,0.46938775510204084
2026-03-02T22:42:40.932639,2022-04-12 00:00:00,43.11180542162506,0,1.0,0.46621621621621623
2026-03-02T22:42:40.965168,2022-04-13 00:00:00,42.16933298109321,0,0.0,0.4697986577181208
2026-03-02T22:42:40.998125,2022-04-14 00:00:00,44.505931481412006,0,1.0,0.4666666666666667
2026-03-02T22:42:41.013096,2022-04-18 00:00:00,43.28201802531904,0,1.0,0.46357615894039733
2026-03-02T22:42:41.062671,2022-04-19 00:00:00,42.32949348534395,0,0.0,0.46710526315789475
2026-03-02T22:42:41.084303,2022-04-20 00:00:00,40.38380716334687,1,0.0,0.46405228758169936
2026-03-02T22:42:41.122632,2022-04-21 00:00:00,37.54509265866458,1,0.0,0.461038961038961
2026-03-02T22:42:41.154093,2022-04-22 00:00:00,36.087892355308675,1,1.0,0.4645161290322581
2026-03-02T22:42:41.192940,2022-04-25 00:00:00,37.4034611826819,1,0.0,0.46153846153846156
2026-03-02T22:42:41.217722,2022-04-26 00:00:00,35.63932538859918,1,0.0,0.4585987261146497
2026-03-02T22:42:41.236055,2022-04-27 00:00:00,35.99000550691302,0,1.0,0.45569620253164556
2026-03-02T22:42:41.255020,2022-04-28 00:00:00,37.5364743829556,1,0.0,0.4528301886792453
2026-03-02T22:42:41.275595,2022-04-29 00:00:00,35.88233214463652,1,1.0,0.45625
2026-03-02T22:42:41.287334,2022-05-02 00:00:00,37.80214734285764,1,1.0,0.45962732919254656
2026-03-02T22:42:41.329525,2022-05-03 00:00:00,38.195756684274,1,1.0,0.46296296296296297
2026-03-02T22:42:41.338915,2022-05-04 00:00:00,38.98371175745372,1,0.0,0.4601226993865031
2026-03-02T22:42:41.376150,2022-05-05 00:00:00,36.97634456957359,1,0.0,0.4573170731707317
2026-03-02T22:42:41.400848,2022-05-06 00:00:00,36.85595668107204,1,0.0,0.45454545454545453
2026-03-02T22:42:41.439749,2022-05-09 00:00:00,34.640594439399074,1,0.0,0.45180722891566266
2026-03-02T22:42:41.465998,2022-05-10 00:00:00,34.45651330017018,1,0.0,0.4491017964071856
2026-03-02T22:42:41.492668,2022-05-11 00:00:00,33.032327389894895,1,0.0,0.44642857142857145
2026-03-02T22:42:41.519844,2022-05-12 00:00:00,33.12194099633351,0,1.0,0.4437869822485207
2026-03-02T22:42:41.542613,2022-05-13 00:00:00,34.93311072363552,1,0.0,0.4411764705882353
2026-03-02T22:42:41.567424,2022-05-16 00:00:00,35.421924537327335,0,1.0,0.43859649122807015
2026-03-02T22:42:41.593074,2022-05-17 00:00:00,35.623788045587304,1,0.0,0.436046511627907
2026-03-02T22:42:41.625117,2022-05-18 00:00:00,34.080526107423324,1,1.0,0.4393063583815029
2026-03-02T22:42:41.662399,2022-05-19 00:00:00,34.456806891460374,1,0.0,0.4367816091954023
2026-03-02T22:42:41.691314,2022-05-20 00:00:00,33.18843286120538,1,1.0,0.44
2026-03-02T22:42:41.705784,2022-05-23 00:00:00,31.915875400055803,0,0.0,0.4431818181818182
2026-03-02T22:42:41.737548,2022-05-24 00:00:00,31.227681564939886,1,1.0,0.4463276836158192
